variable	Date	layer	mean_value	data_type
Chlorophyll-a	2015-03-17	0-20 m	5.98651577816926	obs
Chlorophyll-a	2015-03-17	20 m to bottom	5.62312725895206	obs
Chlorophyll-a	2015-04-21	0-20 m	6.91656379523588	obs
Chlorophyll-a	2015-04-21	20 m to bottom	9.02695617122979	obs
Chlorophyll-a	2015-05-05	0-20 m	7.04043655992535	obs
Chlorophyll-a	2015-05-05	20 m to bottom	7.02700191075693	obs
Chlorophyll-a	2015-06-03	0-20 m	8.50037969219525	obs
Chlorophyll-a	2015-06-03	20 m to bottom	11.5091538611023	obs
Chlorophyll-a	2015-07-07	0-20 m	1.59642302088462	obs
Chlorophyll-a	2015-07-07	20 m to bottom	8.22147121514	obs
Chlorophyll-a	2015-08-04	0-20 m	1.57763986043996	obs
Chlorophyll-a	2015-08-04	20 m to bottom	1.41054521772763	obs
Chlorophyll-a	2015-09-01	0-20 m	1.62878201269506	obs
Chlorophyll-a	2015-09-01	20 m to bottom	1.06689053034237	obs
Chlorophyll-a	2015-09-29	0-20 m	3.01667889201522	obs
Chlorophyll-a	2015-09-29	20 m to bottom	1.60023770989394	obs
Chlorophyll-a	2015-11-10	0-20 m	1.78063452690592	obs
Chlorophyll-a	2015-11-10	20 m to bottom	1.13893723988196	obs
Chlorophyll-a	2015-12-08	0-20 m	1.70371583647718	obs
Chlorophyll-a	2015-12-08	20 m to bottom	1.20775486819647	obs
Chlorophyll-a	2016-03-15	0-20 m	6.41613465111714	obs
Chlorophyll-a	2016-03-15	20 m to bottom	6.66944842511622	obs
Chlorophyll-a	2016-04-19	0-20 m	4.98973288898918	obs
Chlorophyll-a	2016-04-19	20 m to bottom	6.30647559691635	obs
Chlorophyll-a	2016-05-17	0-20 m	2.90484959293515	obs
Chlorophyll-a	2016-05-17	20 m to bottom	5.60724667996677	obs
Chlorophyll-a	2016-06-14	0-20 m	1.3348812647092	obs
Chlorophyll-a	2016-06-14	20 m to bottom	3.18187635511581	obs
Chlorophyll-a	2016-07-05	0-20 m	2.42040563054866	obs
Chlorophyll-a	2016-07-05	20 m to bottom	2.23346000646301	obs
Chlorophyll-a	2016-08-02	0-20 m	3.39442499602424	obs
Chlorophyll-a	2016-08-02	20 m to bottom	1.42322977395363	obs
Chlorophyll-a	2016-08-30	0-20 m	1.97402732805293	obs
Chlorophyll-a	2016-08-30	20 m to bottom	0.996443501243244	obs
Chlorophyll-a	2016-09-27	0-20 m	2.33294567912654	obs
Chlorophyll-a	2016-09-27	20 m to bottom	1.07023706925876	obs
Chlorophyll-a	2016-10-25	0-20 m	1.37987509394501	obs
Chlorophyll-a	2016-10-25	20 m to bottom	0.830631744519088	obs
Chlorophyll-a	2016-12-06	0-20 m	2.43598154520846	obs
Chlorophyll-a	2016-12-06	20 m to bottom	2.21944131379491	obs
Chlorophyll-a	2017-03-21	0-20 m	6.9578885806947	obs
Chlorophyll-a	2017-03-21	20 m to bottom	7.42958830937704	obs
Chlorophyll-a	2017-04-18	0-20 m	6.24784796415427	obs
Chlorophyll-a	2017-04-18	20 m to bottom	5.19437175946281	obs
Chlorophyll-a	2017-05-16	0-20 m	9.15005757310877	obs
Chlorophyll-a	2017-05-16	20 m to bottom	8.04066380369337	obs
Chlorophyll-a	2017-06-13	0-20 m	15.3239046201422	obs
Chlorophyll-a	2017-06-13	20 m to bottom	9.42256583971536	obs
Chlorophyll-a	2017-07-04	0-20 m	7.47241810639793	obs
Chlorophyll-a	2017-07-04	20 m to bottom	7.86827731039162	obs
Chlorophyll-a	2017-08-01	0-20 m	1.66531301996446	obs
Chlorophyll-a	2017-08-01	20 m to bottom	5.41085047774991	obs
Chlorophyll-a	2017-08-29	0-20 m	3.87051361747301	obs
Chlorophyll-a	2017-08-29	20 m to bottom	0.45908636768104	obs
Chlorophyll-a	2017-09-26	0-20 m	1.94768367710247	obs
Chlorophyll-a	2017-09-26	20 m to bottom	0.590097165814972	obs
Chlorophyll-a	2017-10-24	0-20 m	1.22451296971736	obs
Chlorophyll-a	2017-10-24	20 m to bottom	0.988364510500665	obs
Chlorophyll-a	2017-12-05	0-20 m	1.40204795970931	obs
Chlorophyll-a	2017-12-05	20 m to bottom	1.46446431465187	obs
Chlorophyll-a	2018-03-20	0-20 m	3.17474864216236	obs
Chlorophyll-a	2018-03-20	20 m to bottom	3.22853181447767	obs
Chlorophyll-a	2018-04-24	0-20 m	3.85637591382683	obs
Chlorophyll-a	2018-04-24	20 m to bottom	3.51286501744842	obs
Chlorophyll-a	2018-05-15	0-20 m	3.39676145953987	obs
Chlorophyll-a	2018-05-15	20 m to bottom	6.07513926812011	obs
Chlorophyll-a	2018-06-12	0-20 m	1.41618400600467	obs
Chlorophyll-a	2018-06-12	20 m to bottom	3.61522358309851	obs
Chlorophyll-a	2018-07-03	0-20 m	2.07693201974291	obs
Chlorophyll-a	2018-07-03	20 m to bottom	2.93399070828302	obs
Chlorophyll-a	2018-07-31	0-20 m	1.76530536016522	obs
Chlorophyll-a	2018-07-31	20 m to bottom	3.33089914474829	obs
Chlorophyll-a	2018-08-28	0-20 m	2.33939969291353	obs
Chlorophyll-a	2018-08-28	20 m to bottom	1.28710651854338	obs
Chlorophyll-a	2018-09-25	0-20 m	2.20962297722018	obs
Chlorophyll-a	2018-09-25	20 m to bottom	1.04029857710837	obs
Chlorophyll-a	2018-10-23	0-20 m	2.11740983248053	obs
Chlorophyll-a	2018-10-23	20 m to bottom	2.22620221589708	obs
