Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
472.98,0.001,472.98,518,0.05
472.99,0.001,472.99,520,0.05
473,0.001,473,522,0.05
473.01,0.001,473.01,524,0.05
473.02,0.001,473.02,525,0.05
473.03,0.001,473.03,527,0.05
473.04,0.001,473.04,529,0.05
473.05,0.001,473.05,531,0.05
473.06,0.001,473.06,532,0.05
473.07,0.001,473.07,534,0.05
473.08,0.001,473.08,536,0.05
473.09,0.001,473.09,538,0.05
473.1,0.001,473.1,539,0.05
473.11,0.001,473.11,541,0.05
473.12,0.001,473.12,543,0.05
473.13,0.001,473.13,544,0.05
473.14,0.001,473.14,546,0.05
473.15,0.001,473.15,548,0.05
473.16,0.001,473.16,550,0.05
473.17,0.001,473.17,551,0.06
473.18,0.001,473.18,553,0.06
473.19,0.001,473.19,555,0.06
473.2,0.001,473.2,557,0.06
473.21,0.001,473.21,558,0.06
473.22,0.001,473.22,560,0.06
473.23,0.001,473.23,562,0.06
473.24,0.001,473.24,564,0.06
473.25,0.001,473.25,565,0.06
473.26,0.001,473.26,567,0.06
473.27,0.001,473.27,569,0.06
473.28,0.001,473.28,571,0.06
473.29,0.001,473.29,572,0.06
473.3,0.001,473.3,574,0.06
473.31,0.001,473.31,576,0.06
473.32,0.001,473.32,578,0.06
473.33,0.001,473.33,579,0.06
473.34,0.001,473.34,581,0.06
473.35,0.001,473.35,583,0.06
473.36,0.001,473.36,584,0.06
473.37,0.001,473.37,586,0.06
473.38,0.001,473.38,588,0.06
473.39,0.001,473.39,590,0.06
473.4,0.001,473.4,591,0.06
473.41,0.001,473.41,593,0.06
473.42,0.001,473.42,595,0.06
473.43,0.001,473.43,597,0.06
473.44,0.001,473.44,598,0.06
473.45,0.001,473.45,600,0.06
473.46,0.001,473.46,602,0.06
473.47,0.001,473.47,604,0.06
473.48,0.001,473.48,605,0.06
473.49,0.001,473.49,607,0.06
473.5,0.001,473.5,609,0.06
473.51,0.001,473.51,611,0.06
473.52,0.001,473.52,612,0.06
473.53,0.001,473.53,614,0.06
473.54,0.001,473.54,616,0.06
473.55,0.001,473.55,618,0.06
473.56,0.001,473.56,619,0.06
473.57,0.001,473.57,621,0.06
473.58,0.001,473.58,623,0.06
473.59,0.001,473.59,624,0.06
473.6,0.001,473.6,626,0.06
473.61,0.001,473.61,628,0.06
473.62,0.001,473.62,630,0.06
473.63,0.001,473.63,631,0.06
473.64,0.001,473.64,633,0.06
473.65,0.001,473.65,635,0.06
473.66,0.001,473.66,637,0.06
473.67,0.001,473.67,638,0.06
473.68,0.001,473.68,640,0.06
473.69,0.001,473.69,642,0.06
473.7,0.001,473.7,644,0.06
473.71,0.001,473.71,645,0.06
473.72,0.001,473.72,647,0.06
473.73,0.001,473.73,649,0.06
473.74,0.001,473.74,651,0.07
473.75,0.001,473.75,652,0.07
473.76,0.001,473.76,654,0.07
473.77,0.001,473.77,656,0.07
473.78,0.001,473.78,658,0.07
473.79,0.001,473.79,659,0.07
473.8,0.001,473.8,661,0.07
473.81,0.001,473.81,663,0.07
473.82,0.001,473.82,664,0.07
473.83,0.001,473.83,666,0.07
473.84,0.001,473.84,668,0.07
473.85,0.001,473.85,670,0.07
473.86,0.001,473.86,671,0.07
473.87,0.001,473.87,673,0.07
473.88,0.001,473.88,675,0.07
473.89,0.001,473.89,677,0.07
473.9,0.001,473.9,678,0.07
473.91,0.001,473.91,680,0.07
473.92,0.001,473.92,682,0.07
