variable	Date	layer	mean_value	data_type
Temp	2008-09-07	0 m to bottom	15.3341465248809	mod
Temp	2008-09-08	0 m to bottom	15.3231682108893	mod
Temp	2008-09-09	0 m to bottom	15.3226924581878	mod
Temp	2008-09-10	0 m to bottom	15.3428369906738	mod
Temp	2008-09-11	0 m to bottom	15.3758032634813	mod
Temp	2008-09-12	0 m to bottom	15.4404712301264	mod
Temp	2008-09-13	0 m to bottom	15.4286788902185	mod
Temp	2008-09-14	0 m to bottom	15.294972873914	mod
Temp	2008-09-15	0 m to bottom	15.1103554377499	mod
Temp	2008-09-16	0 m to bottom	14.9568884903123	mod
Temp	2008-09-17	0 m to bottom	14.8078649213885	mod
Temp	2008-09-18	0 m to bottom	14.6866488276573	mod
Temp	2008-09-19	0 m to bottom	14.5568280284199	mod
Temp	2008-09-20	0 m to bottom	14.4396348080032	mod
Temp	2008-09-21	0 m to bottom	14.3403507746925	mod
Temp	2008-09-22	0 m to bottom	14.2503598873413	mod
Temp	2008-09-23	0 m to bottom	14.1347322577742	mod
Temp	2008-09-24	0 m to bottom	14.0215966163092	mod
Temp	2008-09-25	0 m to bottom	13.910533801338	mod
Temp	2008-09-26	0 m to bottom	13.7788309220131	mod
Temp	2008-09-27	0 m to bottom	13.6534160319812	mod
Temp	2008-09-28	0 m to bottom	13.5537070456142	mod
Temp	2008-09-29	0 m to bottom	13.4805086217721	mod
Temp	2008-09-30	0 m to bottom	13.3848088043321	mod
Temp	2008-10-01	0 m to bottom	13.2314381494656	mod
Temp	2008-10-02	0 m to bottom	13.0705234500269	mod
Temp	2008-10-03	0 m to bottom	12.9080001895383	mod
Temp	2008-10-04	0 m to bottom	12.7562526729886	mod
Temp	2008-10-05	0 m to bottom	12.5787389066157	mod
Temp	2008-10-06	0 m to bottom	12.4181655425727	mod
Temp	2008-10-07	0 m to bottom	12.3335281936916	mod
Temp	2008-10-08	0 m to bottom	12.271932181496	mod
Temp	2008-10-09	0 m to bottom	12.2379056332438	mod
Temp	2008-10-10	0 m to bottom	12.1953675133202	mod
Temp	2008-10-11	0 m to bottom	12.1519915689078	mod
